,store,day_of_week,date,sales,customers,open,promo,state_holiday,school_holiday,promo2
2,3,5,2015-07-31,8314,821,1,1,0,1,1
1117,3,4,2015-07-30,8977,823,1,1,0,1,1
2232,3,3,2015-07-29,7610,716,1,1,0,1,1
3347,3,2,2015-07-28,8864,818,1,1,0,1,1
4462,3,1,2015-07-27,8107,768,1,1,0,1,1
5577,3,7,2015-07-26,0,0,0,0,0,0,1
6692,3,6,2015-07-25,3878,412,1,0,0,0,1
7807,3,5,2015-07-24,5080,607,1,0,0,1,1
8922,3,4,2015-07-23,5702,655,1,0,0,1,1
10037,3,3,2015-07-22,5414,607,1,0,0,1,1
11152,3,2,2015-07-21,5600,661,1,0,0,1,1
12267,3,1,2015-07-20,5798,671,1,0,0,1,1
13382,3,7,2015-07-19,0,0,0,0,0,0,1
14497,3,6,2015-07-18,4258,417,1,0,0,0,1
15612,3,5,2015-07-17,6679,673,1,1,0,1,1
16727,3,4,2015-07-16,7909,812,1,1,0,1,1
17842,3,3,2015-07-15,8663,865,1,1,0,1,1
18957,3,2,2015-07-14,8625,769,1,1,0,1,1
20072,3,1,2015-07-13,9462,812,1,1,0,1,1
21187,3,7,2015-07-12,0,0,0,0,0,0,1
22302,3,6,2015-07-11,4011,409,1,0,0,0,1
23417,3,5,2015-07-10,6316,689,1,0,0,1,1
24532,3,4,2015-07-09,6613,691,1,0,0,1,1
25647,3,3,2015-07-08,6347,680,1,0,0,1,1
26762,3,2,2015-07-07,6180,657,1,0,0,1,1
27877,3,1,2015-07-06,6736,734,1,0,0,1,1
28992,3,7,2015-07-05,0,0,0,0,0,0,1
30107,3,6,2015-07-04,4482,456,1,0,0,0,1
31222,3,5,2015-07-03,8149,742,1,1,0,1,1
32337,3,4,2015-07-02,7450,701,1,1,0,1,1
33452,3,3,2015-07-01,8311,772,1,1,0,1,1
34567,3,2,2015-06-30,13261,1072,1,1,0,1,1
35682,3,1,2015-06-29,10243,817,1,1,0,1,1
36797,3,7,2015-06-28,0,0,0,0,0,0,1
37912,3,6,2015-06-27,5156,641,1,0,0,0,1
39027,3,5,2015-06-26,6222,698,1,0,0,0,1
40142,3,4,2015-06-25,5763,693,1,0,0,0,1
41257,3,3,2015-06-24,5448,633,1,0,0,0,1
42372,3,2,2015-06-23,6757,779,1,0,0,0,1
43487,3,1,2015-06-22,5840,638,1,0,0,0,1
44602,3,7,2015-06-21,0,0,0,0,0,0,1
45717,3,6,2015-06-20,3891,424,1,0,0,0,1
46832,3,5,2015-06-19,8074,797,1,1,0,0,1
47947,3,4,2015-06-18,7537,743,1,1,0,0,1
49062,3,3,2015-06-17,8524,821,1,1,0,0,1
50177,3,2,2015-06-16,9780,911,1,1,0,0,1
51292,3,1,2015-06-15,10818,955,1,1,0,0,1
52407,3,7,2015-06-14,0,0,0,0,0,0,1
53522,3,6,2015-06-13,4687,492,1,0,0,0,1
54637,3,5,2015-06-12,6181,681,1,0,0,0,1
55752,3,4,2015-06-11,5656,699,1,0,0,0,1
56867,3,3,2015-06-10,6440,719,1,0,0,0,1
57982,3,2,2015-06-09,7127,772,1,0,0,0,1
59097,3,1,2015-06-08,6567,766,1,0,0,0,1
60212,3,7,2015-06-07,0,0,0,0,0,0,1
61327,3,6,2015-06-06,4622,539,1,0,0,0,1
62442,3,5,2015-06-05,9685,935,1,1,0,0,1
63557,3,4,2015-06-04,0,0,0,1,a,0,1
64672,3,3,2015-06-03,9590,918,1,1,0,0,1
65787,3,2,2015-06-02,10455,978,1,1,0,0,1
66902,3,1,2015-06-01,11594,1012,1,1,0,0,1
68017,3,7,2015-05-31,0,0,0,0,0,0,1
69132,3,6,2015-05-30,4542,458,1,0,0,0,1
70247,3,5,2015-05-29,7421,793,1,0,0,0,1
71362,3,4,2015-05-28,6475,677,1,0,0,0,1
72477,3,3,2015-05-27,5589,644,1,0,0,0,1
73592,3,2,2015-05-26,6443,738,1,0,0,1,1
74707,3,1,2015-05-25,0,0,0,0,a,0,1
75822,3,7,2015-05-24,0,0,0,0,0,0,1
76937,3,6,2015-05-23,4613,485,1,0,0,0,1
78052,3,5,2015-05-22,7349,769,1,1,0,0,1
79167,3,4,2015-05-21,7682,776,1,1,0,0,1
80282,3,3,2015-05-20,8226,798,1,1,0,0,1
81397,3,2,2015-05-19,8728,871,1,1,0,0,1
82512,3,1,2015-05-18,10040,919,1,1,0,0,1
83627,3,7,2015-05-17,0,0,0,0,0,0,1
84742,3,6,2015-05-16,4149,464,1,0,0,0,1
85857,3,5,2015-05-15,7515,865,1,0,0,0,1
86972,3,4,2015-05-14,0,0,0,0,a,0,1
88087,3,3,2015-05-13,7003,772,1,0,0,0,1
89202,3,2,2015-05-12,6043,707,1,0,0,0,1
90317,3,1,2015-05-11,5797,714,1,0,0,0,1
91432,3,7,2015-05-10,0,0,0,0,0,0,1
92547,3,6,2015-05-09,6024,743,1,0,0,0,1
93662,3,5,2015-05-08,9083,891,1,1,0,0,1
94777,3,4,2015-05-07,7705,800,1,1,0,0,1
95892,3,3,2015-05-06,9046,877,1,1,0,0,1
97007,3,2,2015-05-05,8719,818,1,1,0,0,1
98122,3,1,2015-05-04,9488,928,1,1,0,0,1
99237,3,7,2015-05-03,0,0,0,0,0,0,1
100352,3,6,2015-05-02,6564,674,1,0,0,0,1
101467,3,5,2015-05-01,0,0,0,1,a,0,1
102582,3,4,2015-04-30,9971,979,1,1,0,0,1
