,store,day_of_week,date,sales,customers,open,promo,state_holiday,school_holiday,promo2
30,31,5,2015-07-31,7248,645,1,1,0,1,0
1145,31,4,2015-07-30,6712,582,1,1,0,1,0
2260,31,3,2015-07-29,5982,570,1,1,0,1,0
3375,31,2,2015-07-28,5736,492,1,1,0,1,0
4490,31,1,2015-07-27,8054,684,1,1,0,1,0
5605,31,7,2015-07-26,0,0,0,0,0,0,0
6720,31,6,2015-07-25,5403,517,1,0,0,0,0
7835,31,5,2015-07-24,5856,577,1,0,0,1,0
8950,31,4,2015-07-23,4683,483,1,0,0,1,0
10065,31,3,2015-07-22,4553,464,1,0,0,1,0
11180,31,2,2015-07-21,4128,411,1,0,0,1,0
12295,31,1,2015-07-20,4902,497,1,0,0,1,0
13410,31,7,2015-07-19,0,0,0,0,0,0,0
14525,31,6,2015-07-18,5585,582,1,0,0,0,0
15640,31,5,2015-07-17,6013,571,1,1,0,0,0
16755,31,4,2015-07-16,6893,598,1,1,0,0,0
17870,31,3,2015-07-15,6300,532,1,1,0,0,0
18985,31,2,2015-07-14,6316,566,1,1,0,0,0
20100,31,1,2015-07-13,7116,614,1,1,0,0,0
21215,31,7,2015-07-12,0,0,0,0,0,0,0
22330,31,6,2015-07-11,5200,555,1,0,0,0,0
23445,31,5,2015-07-10,5862,588,1,0,0,0,0
24560,31,4,2015-07-09,4927,513,1,0,0,0,0
25675,31,3,2015-07-08,4747,500,1,0,0,0,0
26790,31,2,2015-07-07,5148,513,1,0,0,0,0
27905,31,1,2015-07-06,5356,536,1,0,0,0,0
29020,31,7,2015-07-05,0,0,0,0,0,0,0
30135,31,6,2015-07-04,5342,530,1,0,0,0,0
31250,31,5,2015-07-03,6714,607,1,1,0,0,0
32365,31,4,2015-07-02,6660,608,1,1,0,0,0
33480,31,3,2015-07-01,7068,635,1,1,0,0,0
34595,31,2,2015-06-30,8121,647,1,1,0,0,0
35710,31,1,2015-06-29,7416,644,1,1,0,0,0
36825,31,7,2015-06-28,0,0,0,0,0,0,0
37940,31,6,2015-06-27,5656,552,1,0,0,0,0
39055,31,5,2015-06-26,4487,507,1,0,0,0,0
40170,31,4,2015-06-25,4370,459,1,0,0,0,0
41285,31,3,2015-06-24,4338,485,1,0,0,0,0
42400,31,2,2015-06-23,4327,438,1,0,0,0,0
43515,31,1,2015-06-22,4779,476,1,0,0,0,0
44630,31,7,2015-06-21,0,0,0,0,0,0,0
45745,31,6,2015-06-20,5032,528,1,0,0,0,0
46860,31,5,2015-06-19,5881,552,1,1,0,0,0
47975,31,4,2015-06-18,5984,558,1,1,0,0,0
49090,31,3,2015-06-17,6306,551,1,1,0,0,0
50205,31,2,2015-06-16,6906,594,1,1,0,0,0
51320,31,1,2015-06-15,8014,683,1,1,0,0,0
52435,31,7,2015-06-14,0,0,0,0,0,0,0
53550,31,6,2015-06-13,5103,526,1,0,0,0,0
54665,31,5,2015-06-12,5386,544,1,0,0,0,0
55780,31,4,2015-06-11,4251,474,1,0,0,0,0
56895,31,3,2015-06-10,4238,467,1,0,0,0,0
58010,31,2,2015-06-09,4521,485,1,0,0,0,0
59125,31,1,2015-06-08,4405,491,1,0,0,0,0
60240,31,7,2015-06-07,0,0,0,0,0,0,0
61355,31,6,2015-06-06,5775,571,1,0,0,0,0
62470,31,5,2015-06-05,6041,581,1,1,0,0,0
63585,31,4,2015-06-04,5994,550,1,1,0,0,0
64700,31,3,2015-06-03,6422,569,1,1,0,0,0
65815,31,2,2015-06-02,6289,548,1,1,0,0,0
66930,31,1,2015-06-01,8084,675,1,1,0,0,0
68045,31,7,2015-05-31,0,0,0,0,0,0,0
69160,31,6,2015-05-30,6071,627,1,0,0,0,0
70275,31,5,2015-05-29,6098,629,1,0,0,0,0
71390,31,4,2015-05-28,4789,480,1,0,0,0,0
72505,31,3,2015-05-27,5375,517,1,0,0,0,0
73620,31,2,2015-05-26,5379,585,1,0,0,0,0
74735,31,1,2015-05-25,0,0,0,0,a,0,0
75850,31,7,2015-05-24,0,0,0,0,0,0,0
76965,31,6,2015-05-23,5259,556,1,0,0,0,0
78080,31,5,2015-05-22,5642,591,1,1,0,0,0
79195,31,4,2015-05-21,5722,571,1,1,0,0,0
80310,31,3,2015-05-20,5914,553,1,1,0,0,0
81425,31,2,2015-05-19,5956,545,1,1,0,0,0
82540,31,1,2015-05-18,7233,641,1,1,0,0,0
83655,31,7,2015-05-17,0,0,0,0,0,0,0
84770,31,6,2015-05-16,5267,556,1,0,0,0,0
85885,31,5,2015-05-15,6821,641,1,0,0,1,0
87000,31,4,2015-05-14,0,0,0,0,a,0,0
88115,31,3,2015-05-13,6260,652,1,0,0,0,0
89230,31,2,2015-05-12,5064,513,1,0,0,0,0
90345,31,1,2015-05-11,4735,478,1,0,0,0,0
91460,31,7,2015-05-10,0,0,0,0,0,0,0
92575,31,6,2015-05-09,6052,597,1,0,0,0,0
93690,31,5,2015-05-08,6134,569,1,1,0,0,0
94805,31,4,2015-05-07,6566,619,1,1,0,0,0
95920,31,3,2015-05-06,5810,544,1,1,0,0,0
97035,31,2,2015-05-05,5945,538,1,1,0,0,0
98150,31,1,2015-05-04,7299,664,1,1,0,0,0
99265,31,7,2015-05-03,0,0,0,0,0,0,0
100380,31,6,2015-05-02,6470,699,1,0,0,0,0
101495,31,5,2015-05-01,0,0,0,1,a,0,0
102610,31,4,2015-04-30,8947,802,1,1,0,0,0
103725,31,3,2015-04-29,7320,613,1,1,0,0,0
104840,31,2,2015-04-28,5766,528,1,1,0,0,0
105955,31,1,2015-04-27,6607,624,1,1,0,0,0
107070,31,7,2015-04-26,0,0,0,0,0,0,0
108185,31,6,2015-04-25,5226,549,1,0,0,0,0
109300,31,5,2015-04-24,5004,522,1,0,0,0,0
110415,31,4,2015-04-23,4254,479,1,0,0,0,0
111530,31,3,2015-04-22,4307,447,1,0,0,0,0
112645,31,2,2015-04-21,3841,431,1,0,0,0,0
113760,31,1,2015-04-20,3728,463,1,0,0,0,0
114875,31,7,2015-04-19,0,0,0,0,0,0,0
115990,31,6,2015-04-18,4593,507,1,0,0,0,0
117105,31,5,2015-04-17,5900,587,1,1,0,1,0
118220,31,4,2015-04-16,5192,517,1,1,0,1,0
119335,31,3,2015-04-15,5746,533,1,1,0,1,0
120450,31,2,2015-04-14,6382,542,1,1,0,1,0
121565,31,1,2015-04-13,6979,632,1,1,0,1,0
122680,31,7,2015-04-12,0,0,0,0,0,0,0
123795,31,6,2015-04-11,5524,552,1,0,0,0,0
124910,31,5,2015-04-10,4684,517,1,0,0,1,0
126025,31,4,2015-04-09,4721,517,1,0,0,1,0
127140,31,3,2015-04-08,5368,541,1,0,0,1,0
128255,31,2,2015-04-07,5105,564,1,0,0,1,0
129370,31,1,2015-04-06,0,0,0,0,b,1,0
130485,31,7,2015-04-05,0,0,0,0,0,0,0
131600,31,6,2015-04-04,9081,905,1,0,0,0,0
132715,31,5,2015-04-03,0,0,0,1,b,1,0
133830,31,4,2015-04-02,10193,849,1,1,0,1,0
134945,31,3,2015-04-01,9089,732,1,1,0,1,0
136060,31,2,2015-03-31,8588,621,1,1,0,0,0
137175,31,1,2015-03-30,8284,642,1,1,0,0,0
138290,31,7,2015-03-29,0,0,0,0,0,0,0
139405,31,6,2015-03-28,5408,560,1,0,0,0,0
140520,31,5,2015-03-27,5472,566,1,0,0,0,0
141635,31,4,2015-03-26,4917,493,1,0,0,0,0
142750,31,3,2015-03-25,4192,469,1,0,0,0,0
143865,31,2,2015-03-24,4073,438,1,0,0,0,0
144980,31,1,2015-03-23,4383,502,1,0,0,0,0
146095,31,7,2015-03-22,0,0,0,0,0,0,0
147210,31,6,2015-03-21,5427,556,1,0,0,0,0
148325,31,5,2015-03-20,6240,608,1,1,0,0,0
149440,31,4,2015-03-19,5044,496,1,1,0,0,0
150555,31,3,2015-03-18,5454,498,1,1,0,0,0
151670,31,2,2015-03-17,6123,534,1,1,0,0,0
152785,31,1,2015-03-16,7002,610,1,1,0,0,0
153900,31,7,2015-03-15,0,0,0,0,0,0,0
155015,31,6,2015-03-14,5720,571,1,0,0,0,0
156130,31,5,2015-03-13,5722,569,1,0,0,0,0
157245,31,4,2015-03-12,4620,496,1,0,0,0,0
158360,31,3,2015-03-11,5092,512,1,0,0,0,0
159475,31,2,2015-03-10,4747,494,1,0,0,0,0
160590,31,1,2015-03-09,4946,527,1,0,0,0,0
161705,31,7,2015-03-08,0,0,0,0,0,0,0
162820,31,6,2015-03-07,4807,539,1,0,0,0,0
163935,31,5,2015-03-06,6714,659,1,1,0,0,0
165050,31,4,2015-03-05,5834,560,1,1,0,0,0
166165,31,3,2015-03-04,5848,544,1,1,0,0,0
167280,31,2,2015-03-03,6554,605,1,1,0,0,0
168395,31,1,2015-03-02,7667,694,1,1,0,0,0
169510,31,7,2015-03-01,0,0,0,0,0,0,0
170625,31,6,2015-02-28,5782,619,1,0,0,0,0
171740,31,5,2015-02-27,5882,630,1,0,0,0,0
172855,31,4,2015-02-26,5225,535,1,0,0,0,0
173970,31,3,2015-02-25,4542,466,1,0,0,0,0
175085,31,2,2015-02-24,3917,437,1,0,0,0,0
176200,31,1,2015-02-23,4137,518,1,0,0,0,0
177315,31,7,2015-02-22,0,0,0,0,0,0,0
178430,31,6,2015-02-21,5073,546,1,0,0,0,0
179545,31,5,2015-02-20,6489,622,1,1,0,0,0
180660,31,4,2015-02-19,5761,575,1,1,0,0,0
181775,31,3,2015-02-18,5957,565,1,1,0,0,0
182890,31,2,2015-02-17,5554,538,1,1,0,0,0
184005,31,1,2015-02-16,6784,609,1,1,0,0,0
185120,31,7,2015-02-15,0,0,0,0,0,0,0
186235,31,6,2015-02-14,5546,557,1,0,0,0,0
187350,31,5,2015-02-13,6046,614,1,0,0,0,0
188465,31,4,2015-02-12,4712,518,1,0,0,0,0
189580,31,3,2015-02-11,4507,491,1,0,0,0,0
190695,31,2,2015-02-10,4446,495,1,0,0,0,0
191810,31,1,2015-02-09,4285,464,1,0,0,0,0
192925,31,7,2015-02-08,0,0,0,0,0,0,0
194040,31,6,2015-02-07,6226,668,1,0,0,0,0
195155,31,5,2015-02-06,6819,672,1,1,0,0,0
196270,31,4,2015-02-05,5913,591,1,1,0,0,0
197385,31,3,2015-02-04,6402,629,1,1,0,0,0
198500,31,2,2015-02-03,6502,597,1,1,0,0,0
199615,31,1,2015-02-02,7462,688,1,1,0,0,0
200730,31,7,2015-02-01,0,0,0,0,0,0,0
201845,31,6,2015-01-31,6142,629,1,0,0,0,0
202960,31,5,2015-01-30,8141,716,1,1,0,0,0
204075,31,4,2015-01-29,5771,544,1,1,0,0,0
205190,31,3,2015-01-28,5979,536,1,1,0,0,0
206305,31,2,2015-01-27,5800,573,1,1,0,0,0
207420,31,1,2015-01-26,6669,601,1,1,0,0,0
208535,31,7,2015-01-25,0,0,0,0,0,0,0
209650,31,6,2015-01-24,4744,505,1,0,0,0,0
210765,31,5,2015-01-23,5602,578,1,0,0,0,0
211880,31,4,2015-01-22,4639,506,1,0,0,0,0
212995,31,3,2015-01-21,4386,461,1,0,0,0,0
214110,31,2,2015-01-20,4631,480,1,0,0,0,0
215225,31,1,2015-01-19,4422,470,1,0,0,0,0
216340,31,7,2015-01-18,0,0,0,0,0,0,0
217455,31,6,2015-01-17,5048,555,1,0,0,0,0
218570,31,5,2015-01-16,6671,648,1,1,0,0,0
