,store,day_of_week,date,sales,customers,open,promo,state_holiday,school_holiday,promo2
28,29,5,2015-07-31,9411,737,1,1,0,1,0
1143,29,4,2015-07-30,8039,661,1,1,0,1,0
2258,29,3,2015-07-29,7564,614,1,1,0,1,0
3373,29,2,2015-07-28,8450,697,1,1,0,1,0
4488,29,1,2015-07-27,11659,889,1,1,0,1,0
5603,29,7,2015-07-26,0,0,0,0,0,0,0
6718,29,6,2015-07-25,6084,526,1,0,0,0,0
7833,29,5,2015-07-24,6419,556,1,0,0,1,0
8948,29,4,2015-07-23,5590,519,1,0,0,1,0
10063,29,3,2015-07-22,5562,517,1,0,0,1,0
11178,29,2,2015-07-21,6701,622,1,0,0,1,0
12293,29,1,2015-07-20,7101,627,1,0,0,1,0
13408,29,7,2015-07-19,0,0,0,0,0,0,0
14523,29,6,2015-07-18,7534,646,1,0,0,0,0
15638,29,5,2015-07-17,6526,598,1,1,0,1,0
16753,29,4,2015-07-16,7603,630,1,1,0,1,0
17868,29,3,2015-07-15,8383,678,1,1,0,1,0
18983,29,2,2015-07-14,8504,696,1,1,0,1,0
20098,29,1,2015-07-13,12305,924,1,1,0,1,0
21213,29,7,2015-07-12,0,0,0,0,0,0,0
22328,29,6,2015-07-11,6546,576,1,0,0,0,0
23443,29,5,2015-07-10,6031,528,1,0,0,1,0
24558,29,4,2015-07-09,6947,646,1,0,0,1,0
25673,29,3,2015-07-08,6816,600,1,0,0,1,0
26788,29,2,2015-07-07,6223,555,1,0,0,1,0
27903,29,1,2015-07-06,7703,662,1,0,0,1,0
29018,29,7,2015-07-05,0,0,0,0,0,0,0
30133,29,6,2015-07-04,6228,594,1,0,0,0,0
31248,29,5,2015-07-03,9644,743,1,1,0,1,0
32363,29,4,2015-07-02,7713,664,1,1,0,1,0
33478,29,3,2015-07-01,9416,720,1,1,0,1,0
34593,29,2,2015-06-30,11043,777,1,1,0,1,0
35708,29,1,2015-06-29,14107,1027,1,1,0,1,0
36823,29,7,2015-06-28,0,0,0,0,0,0,0
37938,29,6,2015-06-27,7876,668,1,0,0,0,0
39053,29,5,2015-06-26,6857,605,1,0,0,0,0
40168,29,4,2015-06-25,6179,604,1,0,0,0,0
41283,29,3,2015-06-24,7251,634,1,0,0,0,0
42398,29,2,2015-06-23,6875,575,1,0,0,0,0
43513,29,1,2015-06-22,6798,613,1,0,0,0,0
44628,29,7,2015-06-21,0,0,0,0,0,0,0
45743,29,6,2015-06-20,8117,741,1,0,0,0,0
46858,29,5,2015-06-19,8746,735,1,1,0,0,0
47973,29,4,2015-06-18,9408,736,1,1,0,0,0
49088,29,3,2015-06-17,9075,732,1,1,0,0,0
50203,29,2,2015-06-16,10375,813,1,1,0,0,0
51318,29,1,2015-06-15,14823,1059,1,1,0,0,0
52433,29,7,2015-06-14,0,0,0,0,0,0,0
53548,29,6,2015-06-13,8408,723,1,0,0,0,0
54663,29,5,2015-06-12,6192,572,1,0,0,0,0
55778,29,4,2015-06-11,6305,585,1,0,0,0,0
56893,29,3,2015-06-10,6418,560,1,0,0,0,0
58008,29,2,2015-06-09,6855,602,1,0,0,0,0
59123,29,1,2015-06-08,7315,663,1,0,0,0,0
60238,29,7,2015-06-07,0,0,0,0,0,0,0
61353,29,6,2015-06-06,8394,709,1,0,0,0,0
62468,29,5,2015-06-05,10607,843,1,1,0,0,0
63583,29,4,2015-06-04,0,0,0,1,a,0,0
64698,29,3,2015-06-03,10834,915,1,1,0,0,0
65813,29,2,2015-06-02,10285,821,1,1,0,0,0
66928,29,1,2015-06-01,15316,1111,1,1,0,0,0
68043,29,7,2015-05-31,0,0,0,0,0,0,0
69158,29,6,2015-05-30,8507,743,1,0,0,0,0
70273,29,5,2015-05-29,8633,702,1,0,0,0,0
71388,29,4,2015-05-28,7090,671,1,0,0,0,0
72503,29,3,2015-05-27,6936,639,1,0,0,0,0
73618,29,2,2015-05-26,8493,764,1,0,0,1,0
74733,29,1,2015-05-25,0,0,0,0,a,0,0
75848,29,7,2015-05-24,0,0,0,0,0,0,0
76963,29,6,2015-05-23,8214,712,1,0,0,0,0
78078,29,5,2015-05-22,8468,741,1,1,0,0,0
79193,29,4,2015-05-21,8583,743,1,1,0,0,0
80308,29,3,2015-05-20,8288,748,1,1,0,0,0
81423,29,2,2015-05-19,10125,812,1,1,0,0,0
82538,29,1,2015-05-18,12046,947,1,1,0,0,0
83653,29,7,2015-05-17,0,0,0,0,0,0,0
84768,29,6,2015-05-16,8163,732,1,0,0,0,0
85883,29,5,2015-05-15,8473,732,1,0,0,0,0
86998,29,4,2015-05-14,0,0,0,0,a,0,0
88113,29,3,2015-05-13,8278,744,1,0,0,0,0
89228,29,2,2015-05-12,6898,628,1,0,0,0,0
90343,29,1,2015-05-11,6133,598,1,0,0,0,0
91458,29,7,2015-05-10,0,0,0,0,0,0,0
92573,29,6,2015-05-09,8506,733,1,0,0,0,0
93688,29,5,2015-05-08,8432,728,1,1,0,0,0
94803,29,4,2015-05-07,9376,783,1,1,0,0,0
95918,29,3,2015-05-06,9557,783,1,1,0,0,0
97033,29,2,2015-05-05,9668,771,1,1,0,0,0
98148,29,1,2015-05-04,13355,995,1,1,0,0,0
99263,29,7,2015-05-03,0,0,0,0,0,0,0
100378,29,6,2015-05-02,10191,871,1,0,0,0,0
101493,29,5,2015-05-01,0,0,0,1,a,0,0
102608,29,4,2015-04-30,12236,988,1,1,0,0,0
103723,29,3,2015-04-29,10125,794,1,1,0,0,0
104838,29,2,2015-04-28,10533,836,1,1,0,0,0
105953,29,1,2015-04-27,13637,1003,1,1,0,0,0
