,store,day_of_week,date,sales,customers,open,promo,state_holiday,school_holiday,promo2
12,13,5,2015-07-31,8821,568,1,1,0,0,1
1127,13,4,2015-07-30,7648,474,1,1,0,0,1
2242,13,3,2015-07-29,6648,406,1,1,0,0,1
3357,13,2,2015-07-28,6819,446,1,1,0,0,1
4472,13,1,2015-07-27,7926,527,1,1,0,0,1
5587,13,7,2015-07-26,0,0,0,0,0,0,1
6702,13,6,2015-07-25,4361,340,1,0,0,0,1
7817,13,5,2015-07-24,3483,287,1,0,0,0,1
8932,13,4,2015-07-23,3959,312,1,0,0,0,1
10047,13,3,2015-07-22,3164,256,1,0,0,0,1
11162,13,2,2015-07-21,3080,248,1,0,0,0,1
12277,13,1,2015-07-20,3868,307,1,0,0,0,1
13392,13,7,2015-07-19,0,0,0,0,0,0,1
14507,13,6,2015-07-18,4956,394,1,0,0,0,1
15622,13,5,2015-07-17,5740,394,1,1,0,0,1
16737,13,4,2015-07-16,5921,406,1,1,0,0,1
17852,13,3,2015-07-15,10334,415,1,1,0,0,1
18967,13,2,2015-07-14,6422,438,1,1,0,0,1
20082,13,1,2015-07-13,7525,476,1,1,0,0,1
21197,13,7,2015-07-12,0,0,0,0,0,0,1
22312,13,6,2015-07-11,4031,319,1,0,0,0,1
23427,13,5,2015-07-10,3639,298,1,0,0,0,1
24542,13,4,2015-07-09,4350,331,1,0,0,0,1
25657,13,3,2015-07-08,3709,298,1,0,0,0,1
26772,13,2,2015-07-07,3129,262,1,0,0,0,1
27887,13,1,2015-07-06,3055,271,1,0,0,0,1
29002,13,7,2015-07-05,0,0,0,0,0,0,1
30117,13,6,2015-07-04,3906,302,1,0,0,0,1
31232,13,5,2015-07-03,8948,441,1,1,0,0,1
32347,13,4,2015-07-02,5652,388,1,1,0,0,1
33462,13,3,2015-07-01,6796,369,1,1,0,0,1
34577,13,2,2015-06-30,6110,404,1,1,0,0,1
35692,13,1,2015-06-29,6741,441,1,1,0,0,1
36807,13,7,2015-06-28,0,0,0,0,0,0,1
37922,13,6,2015-06-27,4801,345,1,0,0,0,1
39037,13,5,2015-06-26,3702,289,1,0,0,0,1
40152,13,4,2015-06-25,5830,274,1,0,0,0,1
41267,13,3,2015-06-24,3056,239,1,0,0,0,1
42382,13,2,2015-06-23,3681,286,1,0,0,0,1
43497,13,1,2015-06-22,2603,220,1,0,0,0,1
44612,13,7,2015-06-21,0,0,0,0,0,0,1
45727,13,6,2015-06-20,4391,350,1,0,0,0,1
46842,13,5,2015-06-19,5546,402,1,1,0,0,1
47957,13,4,2015-06-18,5047,333,1,1,0,0,1
49072,13,3,2015-06-17,5885,403,1,1,0,0,1
50187,13,2,2015-06-16,7159,419,1,1,0,0,1
51302,13,1,2015-06-15,7808,506,1,1,0,0,1
52417,13,7,2015-06-14,0,0,0,0,0,0,1
53532,13,6,2015-06-13,4728,339,1,0,0,0,1
54647,13,5,2015-06-12,3541,277,1,0,0,0,1
55762,13,4,2015-06-11,4677,289,1,0,0,0,1
56877,13,3,2015-06-10,3533,266,1,0,0,0,1
57992,13,2,2015-06-09,3577,300,1,0,0,0,1
59107,13,1,2015-06-08,4032,310,1,0,0,0,1
60222,13,7,2015-06-07,0,0,0,0,0,0,1
61337,13,6,2015-06-06,3801,308,1,0,0,0,1
62452,13,5,2015-06-05,6797,440,1,1,0,1,1
63567,13,4,2015-06-04,0,0,0,1,a,1,1
64682,13,3,2015-06-03,5512,432,1,1,0,1,1
65797,13,2,2015-06-02,5879,368,1,1,0,1,1
66912,13,1,2015-06-01,7597,484,1,1,0,1,1
68027,13,7,2015-05-31,0,0,0,0,0,0,1
69142,13,6,2015-05-30,5518,395,1,0,0,0,1
70257,13,5,2015-05-29,4210,298,1,0,0,1,1
71372,13,4,2015-05-28,3131,251,1,0,0,1,1
72487,13,3,2015-05-27,3707,282,1,0,0,1,1
73602,13,2,2015-05-26,5583,330,1,0,0,1,1
74717,13,1,2015-05-25,0,0,0,0,a,0,1
75832,13,7,2015-05-24,0,0,0,0,0,0,1
76947,13,6,2015-05-23,4382,355,1,0,0,0,1
78062,13,5,2015-05-22,4966,371,1,1,0,0,1
79177,13,4,2015-05-21,4307,324,1,1,0,0,1
80292,13,3,2015-05-20,6368,362,1,1,0,0,1
81407,13,2,2015-05-19,4516,317,1,1,0,0,1
82522,13,1,2015-05-18,7046,433,1,1,0,0,1
83637,13,7,2015-05-17,0,0,0,0,0,0,1
84752,13,6,2015-05-16,4519,352,1,0,0,0,1
85867,13,5,2015-05-15,4898,389,1,0,0,0,1
86982,13,4,2015-05-14,0,0,0,0,a,0,1
88097,13,3,2015-05-13,4786,399,1,0,0,0,1
89212,13,2,2015-05-12,3296,276,1,0,0,0,1
90327,13,1,2015-05-11,3275,287,1,0,0,0,1
91442,13,7,2015-05-10,0,0,0,0,0,0,1
92557,13,6,2015-05-09,5416,388,1,0,0,0,1
93672,13,5,2015-05-08,4776,399,1,1,0,0,1
94787,13,4,2015-05-07,4756,350,1,1,0,0,1
95902,13,3,2015-05-06,6411,373,1,1,0,0,1
97017,13,2,2015-05-05,4830,371,1,1,0,0,1
98132,13,1,2015-05-04,6533,455,1,1,0,0,1
99247,13,7,2015-05-03,0,0,0,0,0,0,1
100362,13,6,2015-05-02,6634,468,1,0,0,0,1
101477,13,5,2015-05-01,0,0,0,1,a,0,1
102592,13,4,2015-04-30,9228,639,1,1,0,0,1
103707,13,3,2015-04-29,8397,520,1,1,0,0,1
104822,13,2,2015-04-28,6831,439,1,1,0,0,1
105937,13,1,2015-04-27,7369,507,1,1,0,0,1
107052,13,7,2015-04-26,0,0,0,0,0,0,1
108167,13,6,2015-04-25,5578,424,1,0,0,0,1
109282,13,5,2015-04-24,4389,352,1,0,0,0,1
110397,13,4,2015-04-23,4719,345,1,0,0,0,1
111512,13,3,2015-04-22,3560,300,1,0,0,0,1
112627,13,2,2015-04-21,3281,287,1,0,0,0,1
113742,13,1,2015-04-20,3534,311,1,0,0,0,1
114857,13,7,2015-04-19,0,0,0,0,0,0,1
115972,13,6,2015-04-18,4748,389,1,0,0,0,1
117087,13,5,2015-04-17,5889,411,1,1,0,0,1
118202,13,4,2015-04-16,6301,397,1,1,0,0,1
119317,13,3,2015-04-15,5239,349,1,1,0,0,1
120432,13,2,2015-04-14,6119,418,1,1,0,0,1
121547,13,1,2015-04-13,7761,474,1,1,0,0,1
122662,13,7,2015-04-12,0,0,0,0,0,0,1
123777,13,6,2015-04-11,4411,346,1,0,0,0,1
