,store,day_of_week,date,sales,customers,open,promo,state_holiday,school_holiday,promo2
7,8,5,2015-07-31,8492,833,1,1,0,1,0
1122,8,4,2015-07-30,8420,882,1,1,0,1,0
2237,8,3,2015-07-29,7029,698,1,1,0,1,0
3352,8,2,2015-07-28,6717,695,1,1,0,1,0
4467,8,1,2015-07-27,8739,841,1,1,0,1,0
5582,8,7,2015-07-26,0,0,0,0,0,0,0
6697,8,6,2015-07-25,3288,398,1,0,0,0,0
7812,8,5,2015-07-24,4917,558,1,0,0,1,0
8927,8,4,2015-07-23,6109,783,1,0,0,1,0
10042,8,3,2015-07-22,4996,626,1,0,0,1,0
11157,8,2,2015-07-21,5168,673,1,0,0,1,0
12272,8,1,2015-07-20,5956,733,1,0,0,1,0
13387,8,7,2015-07-19,0,0,0,0,0,0,0
14502,8,6,2015-07-18,3813,442,1,0,0,0,0
15617,8,5,2015-07-17,6728,684,1,1,0,0,0
16732,8,4,2015-07-16,8808,988,1,1,0,0,0
17847,8,3,2015-07-15,7932,802,1,1,0,0,0
18962,8,2,2015-07-14,8845,840,1,1,0,0,0
20077,8,1,2015-07-13,9117,935,1,1,0,0,0
21192,8,7,2015-07-12,0,0,0,0,0,0,0
22307,8,6,2015-07-11,3707,425,1,0,0,0,0
23422,8,5,2015-07-10,6067,693,1,0,0,0,0
24537,8,4,2015-07-09,5602,765,1,0,0,0,0
25652,8,3,2015-07-08,5322,639,1,0,0,0,0
26767,8,2,2015-07-07,5365,679,1,0,0,0,0
27882,8,1,2015-07-06,6740,805,1,0,0,0,0
28997,8,7,2015-07-05,0,0,0,0,0,0,0
30112,8,6,2015-07-04,3418,428,1,0,0,0,0
31227,8,5,2015-07-03,6535,764,1,1,0,0,0
32342,8,4,2015-07-02,8658,981,1,1,0,0,0
33457,8,3,2015-07-01,8523,895,1,1,0,0,0
34572,8,2,2015-06-30,9836,968,1,1,0,0,0
35687,8,1,2015-06-29,10444,945,1,1,0,0,0
36802,8,7,2015-06-28,0,0,0,0,0,0,0
37917,8,6,2015-06-27,3611,397,1,0,0,0,0
39032,8,5,2015-06-26,5016,639,1,0,0,0,0
40147,8,4,2015-06-25,5956,771,1,0,0,0,0
41262,8,3,2015-06-24,5005,625,1,0,0,0,0
42377,8,2,2015-06-23,5501,759,1,0,0,0,0
43492,8,1,2015-06-22,4796,630,1,0,0,0,0
44607,8,7,2015-06-21,0,0,0,0,0,0,0
45722,8,6,2015-06-20,3611,409,1,0,0,0,0
46837,8,5,2015-06-19,6773,690,1,1,0,0,0
47952,8,4,2015-06-18,7302,871,1,1,0,0,0
49067,8,3,2015-06-17,7751,768,1,1,0,0,0
50182,8,2,2015-06-16,8386,879,1,1,0,0,0
51297,8,1,2015-06-15,9937,938,1,1,0,0,0
52412,8,7,2015-06-14,0,0,0,0,0,0,0
53527,8,6,2015-06-13,3456,397,1,0,0,0,0
54642,8,5,2015-06-12,5474,676,1,0,0,0,0
55757,8,4,2015-06-11,5703,790,1,0,0,0,0
56872,8,3,2015-06-10,5246,659,1,0,0,0,0
57987,8,2,2015-06-09,5273,696,1,0,0,0,0
59102,8,1,2015-06-08,6142,751,1,0,0,0,0
60217,8,7,2015-06-07,0,0,0,0,0,0,0
61332,8,6,2015-06-06,3349,434,1,0,0,0,0
62447,8,5,2015-06-05,5904,705,1,1,0,0,0
63562,8,4,2015-06-04,7964,973,1,1,0,0,0
64677,8,3,2015-06-03,7244,753,1,1,0,0,0
65792,8,2,2015-06-02,8143,837,1,1,0,0,0
66907,8,1,2015-06-01,10971,1012,1,1,0,0,0
68022,8,7,2015-05-31,0,0,0,0,0,0,0
69137,8,6,2015-05-30,4692,475,1,0,0,0,0
70252,8,5,2015-05-29,6451,732,1,0,0,0,0
71367,8,4,2015-05-28,6718,823,1,0,0,0,0
72482,8,3,2015-05-27,5573,696,1,0,0,0,0
73597,8,2,2015-05-26,6503,774,1,0,0,0,0
74712,8,1,2015-05-25,0,0,0,0,a,0,0
75827,8,7,2015-05-24,0,0,0,0,0,0,0
76942,8,6,2015-05-23,3199,394,1,0,0,0,0
78057,8,5,2015-05-22,6191,707,1,1,0,0,0
79172,8,4,2015-05-21,7441,914,1,1,0,0,0
80287,8,3,2015-05-20,6896,778,1,1,0,0,0
81402,8,2,2015-05-19,7358,796,1,1,0,0,0
82517,8,1,2015-05-18,8956,914,1,1,0,0,0
83632,8,7,2015-05-17,0,0,0,0,0,0,0
84747,8,6,2015-05-16,3158,372,1,0,0,0,0
85862,8,5,2015-05-15,5772,662,1,0,0,1,0
86977,8,4,2015-05-14,0,0,0,0,a,0,0
88092,8,3,2015-05-13,6012,769,1,0,0,0,0
89207,8,2,2015-05-12,5811,745,1,0,0,0,0
90322,8,1,2015-05-11,5752,732,1,0,0,0,0
91437,8,7,2015-05-10,0,0,0,0,0,0,0
92552,8,6,2015-05-09,3670,464,1,0,0,0,0
93667,8,5,2015-05-08,6793,723,1,1,0,0,0
94782,8,4,2015-05-07,7733,890,1,1,0,0,0
95897,8,3,2015-05-06,7510,800,1,1,0,0,0
97012,8,2,2015-05-05,7511,783,1,1,0,0,0
98127,8,1,2015-05-04,9806,1031,1,1,0,0,0
99242,8,7,2015-05-03,0,0,0,0,0,0,0
100357,8,6,2015-05-02,4910,524,1,0,0,0,0
101472,8,5,2015-05-01,0,0,0,1,a,0,0
102587,8,4,2015-04-30,9956,1080,1,1,0,0,0
103702,8,3,2015-04-29,8158,832,1,1,0,0,0
104817,8,2,2015-04-28,8419,897,1,1,0,0,0
105932,8,1,2015-04-27,10468,1004,1,1,0,0,0
107047,8,7,2015-04-26,0,0,0,0,0,0,0
108162,8,6,2015-04-25,3213,401,1,0,0,0,0
109277,8,5,2015-04-24,5160,603,1,0,0,0,0
110392,8,4,2015-04-23,6125,831,1,0,0,0,0
111507,8,3,2015-04-22,4605,602,1,0,0,0,0
112622,8,2,2015-04-21,5244,750,1,0,0,0,0
113737,8,1,2015-04-20,5591,744,1,0,0,0,0
114852,8,7,2015-04-19,0,0,0,0,0,0,0
115967,8,6,2015-04-18,3834,405,1,0,0,0,0
117082,8,5,2015-04-17,6049,646,1,1,0,1,0
118197,8,4,2015-04-16,8516,928,1,1,0,1,0
119312,8,3,2015-04-15,6489,738,1,1,0,1,0
120427,8,2,2015-04-14,8357,843,1,1,0,1,0
121542,8,1,2015-04-13,9881,936,1,1,0,1,0
122657,8,7,2015-04-12,0,0,0,0,0,0,0
123772,8,6,2015-04-11,3546,409,1,0,0,0,0
124887,8,5,2015-04-10,5271,666,1,0,0,1,0
126002,8,4,2015-04-09,6309,827,1,0,0,1,0
127117,8,3,2015-04-08,6183,711,1,0,0,1,0
128232,8,2,2015-04-07,6784,797,1,0,0,1,0
129347,8,1,2015-04-06,0,0,0,0,b,1,0
130462,8,7,2015-04-05,0,0,0,0,0,0,0
131577,8,6,2015-04-04,4838,557,1,0,0,0,0
132692,8,5,2015-04-03,0,0,0,1,b,1,0
133807,8,4,2015-04-02,10532,1133,1,1,0,1,0
134922,8,3,2015-04-01,8872,883,1,1,0,1,0
136037,8,2,2015-03-31,8752,802,1,1,0,0,0
137152,8,1,2015-03-30,9514,839,1,1,0,0,0
138267,8,7,2015-03-29,0,0,0,0,0,0,0
139382,8,6,2015-03-28,3502,410,1,0,0,0,0
140497,8,5,2015-03-27,5172,632,1,0,0,0,0
141612,8,4,2015-03-26,5508,733,1,0,0,0,0
142727,8,3,2015-03-25,5136,630,1,0,0,0,0
143842,8,2,2015-03-24,5581,712,1,0,0,0,0
144957,8,1,2015-03-23,5613,748,1,0,0,0,0
146072,8,7,2015-03-22,0,0,0,0,0,0,0
147187,8,6,2015-03-21,2993,381,1,0,0,0,0
148302,8,5,2015-03-20,5853,675,1,1,0,0,0
149417,8,4,2015-03-19,8233,909,1,1,0,0,0
150532,8,3,2015-03-18,6737,782,1,1,0,0,0
151647,8,2,2015-03-17,7635,848,1,1,0,0,0
152762,8,1,2015-03-16,9339,999,1,1,0,0,0
153877,8,7,2015-03-15,0,0,0,0,0,0,0
154992,8,6,2015-03-14,3414,405,1,0,0,0,0
156107,8,5,2015-03-13,4712,601,1,0,0,0,0
157222,8,4,2015-03-12,6036,846,1,0,0,0,0
158337,8,3,2015-03-11,4972,663,1,0,0,0,0
159452,8,2,2015-03-10,5538,719,1,0,0,0,0
160567,8,1,2015-03-09,4841,730,1,0,0,0,0
161682,8,7,2015-03-08,0,0,0,0,0,0,0
162797,8,6,2015-03-07,3589,468,1,0,0,0,0
163912,8,5,2015-03-06,6260,687,1,1,0,0,0
165027,8,4,2015-03-05,8282,939,1,1,0,0,0
166142,8,3,2015-03-04,6805,743,1,1,0,0,0
167257,8,2,2015-03-03,8163,829,1,1,0,0,0
168372,8,1,2015-03-02,8923,897,1,1,0,0,0
169487,8,7,2015-03-01,0,0,0,0,0,0,0
170602,8,6,2015-02-28,4103,451,1,0,0,0,0
171717,8,5,2015-02-27,6145,661,1,0,0,0,0
172832,8,4,2015-02-26,6350,803,1,0,0,0,0
173947,8,3,2015-02-25,5473,663,1,0,0,0,0
175062,8,2,2015-02-24,5368,674,1,0,0,0,0
176177,8,1,2015-02-23,4977,694,1,0,0,0,0
177292,8,7,2015-02-22,0,0,0,0,0,0,0
178407,8,6,2015-02-21,3402,393,1,0,0,0,0
179522,8,5,2015-02-20,6002,650,1,1,0,0,0
180637,8,4,2015-02-19,7768,915,1,1,0,0,0
181752,8,3,2015-02-18,7449,780,1,1,0,0,0
182867,8,2,2015-02-17,7938,797,1,1,0,0,0
183982,8,1,2015-02-16,9169,917,1,1,0,0,0
185097,8,7,2015-02-15,0,0,0,0,0,0,0
186212,8,6,2015-02-14,3765,454,1,0,0,0,0
187327,8,5,2015-02-13,5296,652,1,0,0,0,0
188442,8,4,2015-02-12,5694,776,1,0,0,0,0
189557,8,3,2015-02-11,5051,647,1,0,0,0,0
190672,8,2,2015-02-10,5070,665,1,0,0,0,0
191787,8,1,2015-02-09,5787,765,1,0,0,0,0
192902,8,7,2015-02-08,0,0,0,0,0,0,0
194017,8,6,2015-02-07,3603,450,1,0,0,0,0
195132,8,5,2015-02-06,6205,715,1,1,0,0,0
196247,8,4,2015-02-05,7002,890,1,1,0,0,0
197362,8,3,2015-02-04,6877,785,1,1,0,0,0
198477,8,2,2015-02-03,8146,872,1,1,0,0,0
199592,8,1,2015-02-02,8679,966,1,1,0,0,0
200707,8,7,2015-02-01,0,0,0,0,0,0,0
201822,8,6,2015-01-31,4063,485,1,0,0,0,0
202937,8,5,2015-01-30,6401,747,1,1,0,0,0
204052,8,4,2015-01-29,8403,913,1,1,0,0,0
205167,8,3,2015-01-28,6071,700,1,1,0,0,0
206282,8,2,2015-01-27,7804,887,1,1,0,0,0
207397,8,1,2015-01-26,7502,807,1,1,0,0,0
208512,8,7,2015-01-25,0,0,0,0,0,0,0
209627,8,6,2015-01-24,2803,378,1,0,0,0,0
210742,8,5,2015-01-23,4517,552,1,0,0,0,0
211857,8,4,2015-01-22,5447,748,1,0,0,0,0
212972,8,3,2015-01-21,4670,603,1,0,0,0,0
214087,8,2,2015-01-20,5540,727,1,0,0,0,0
215202,8,1,2015-01-19,6083,759,1,0,0,0,0
216317,8,7,2015-01-18,0,0,0,0,0,0,0
217432,8,6,2015-01-17,3571,435,1,0,0,0,0
218547,8,5,2015-01-16,6558,734,1,1,0,0,0
219662,8,4,2015-01-15,7242,824,1,1,0,0,0
220777,8,3,2015-01-14,6731,761,1,1,0,0,0
221892,8,2,2015-01-13,6463,712,1,1,0,0,0
223007,8,1,2015-01-12,8425,857,1,1,0,0,0
224122,8,7,2015-01-11,0,0,0,0,0,0,0
225237,8,6,2015-01-10,2763,345,1,0,0,0,0
226352,8,5,2015-01-09,4593,544,1,1,0,0,0
227467,8,4,2015-01-08,6089,721,1,1,0,0,0
228582,8,3,2015-01-07,7262,781,1,1,0,0,0
229697,8,2,2015-01-06,7182,844,1,1,0,1,0
230812,8,1,2015-01-05,9390,935,1,1,0,1,0
231927,8,7,2015-01-04,0,0,0,0,0,0,0
233042,8,6,2015-01-03,3250,371,1,0,0,0,0
234157,8,5,2015-01-02,5028,639,1,0,0,1,0
235272,8,4,2015-01-01,0,0,0,0,a,1,0
236387,8,3,2014-12-31,3025,394,1,0,0,1,0
237322,8,2,2014-12-30,6463,759,1,0,0,1,0
238257,8,1,2014-12-29,7086,799,1,0,0,1,0
239192,8,7,2014-12-28,0,0,0,0,0,0,0
240127,8,6,2014-12-27,3806,502,1,0,0,0,0
241062,8,5,2014-12-26,0,0,0,0,c,1,0
241997,8,4,2014-12-25,0,0,0,0,c,1,0
242932,8,3,2014-12-24,3738,401,1,0,0,1,0
243867,8,2,2014-12-23,7962,928,1,0,0,1,0
244802,8,1,2014-12-22,7248,810,1,0,0,1,0
245737,8,7,2014-12-21,0,0,0,0,0,0,0
246672,8,6,2014-12-20,4339,487,1,0,0,0,0
247607,8,5,2014-12-19,7381,775,1,1,0,0,0
248542,8,4,2014-12-18,9008,1021,1,1,0,0,0
249477,8,3,2014-12-17,8282,828,1,1,0,0,0
250412,8,2,2014-12-16,9550,925,1,1,0,0,0
251347,8,1,2014-12-15,10956,1014,1,1,0,0,0
252282,8,7,2014-12-14,0,0,0,0,0,0,0
